idx,rkts,abstractI,abstractT,expr
1103,820,http://purl.bdrc.io/resource/W0RTA2602,http://purl.bdrc.io/resource/W0RTT2602,http://purl.bdrc.io/resource/W4CZ5369_1103
1104,815,http://purl.bdrc.io/resource/W0RTA3743,http://purl.bdrc.io/resource/W0RTT3743,http://purl.bdrc.io/resource/W4CZ5369_1104
1105,816,http://purl.bdrc.io/resource/W0RTA2599,http://purl.bdrc.io/resource/W0RTT2599,http://purl.bdrc.io/resource/W4CZ5369_1105
1106,817,http://purl.bdrc.io/resource/W0RKA0817,http://purl.bdrc.io/resource/W0RKT0817,http://purl.bdrc.io/resource/W4CZ5369_1106
1107,1107,http://purl.bdrc.io/resource/W0RTA3738,http://purl.bdrc.io/resource/W0RTT3738,http://purl.bdrc.io/resource/W4CZ5369_1107
1108,821,http://purl.bdrc.io/resource/W0RTA3744,http://purl.bdrc.io/resource/W0RTT3744,http://purl.bdrc.io/resource/W4CZ5369_1108
111,111,http://purl.bdrc.io/resource/W0RKA0111,http://purl.bdrc.io/resource/W0RKT0111,http://purl.bdrc.io/resource/W4CZ5369_0111
112,112,http://purl.bdrc.io/resource/W0RKA0112,http://purl.bdrc.io/resource/W0RKT0112,http://purl.bdrc.io/resource/W4CZ5369_0112
113,113,http://purl.bdrc.io/resource/W4CZ16799,http://purl.bdrc.io/resource/W0RKT0113,http://purl.bdrc.io/resource/W4CZ5369_0113
114,114,http://purl.bdrc.io/resource/W0RKA0114,http://purl.bdrc.io/resource/W0RKT0114,http://purl.bdrc.io/resource/W4CZ5369_0114
115,115,http://purl.bdrc.io/resource/W0RKA0115,http://purl.bdrc.io/resource/W0RKT0115,http://purl.bdrc.io/resource/W4CZ5369_0115
116,116,http://purl.bdrc.io/resource/W0RKA0116,http://purl.bdrc.io/resource/W0RKT0116,http://purl.bdrc.io/resource/W4CZ5369_0116
117,117,http://purl.bdrc.io/resource/W0RKA0117,http://purl.bdrc.io/resource/W0RKT0117,http://purl.bdrc.io/resource/W4CZ5369_0117
118,118,http://purl.bdrc.io/resource/W0RKA0118,http://purl.bdrc.io/resource/W0RKT0118,http://purl.bdrc.io/resource/W4CZ5369_0118
119,119,http://purl.bdrc.io/resource/W0RKA0119,http://purl.bdrc.io/resource/W0RKT0119,http://purl.bdrc.io/resource/W4CZ5369_0119
12,12,http://purl.bdrc.io/resource/W0RKA0012,http://purl.bdrc.io/resource/W0RKT0012,http://purl.bdrc.io/resource/W4CZ5369_0012
120,120,http://purl.bdrc.io/resource/W0RKA0120,http://purl.bdrc.io/resource/W0RKT0120,http://purl.bdrc.io/resource/W4CZ5369_0120
121,121,http://purl.bdrc.io/resource/W0RKA0121,http://purl.bdrc.io/resource/W0RKT0121,http://purl.bdrc.io/resource/W4CZ5369_0121
122,122,http://purl.bdrc.io/resource/W4CZ16790,http://purl.bdrc.io/resource/W0RKT0122,http://purl.bdrc.io/resource/W4CZ5369_0122
123,123,http://purl.bdrc.io/resource/W0RKA0123,http://purl.bdrc.io/resource/W0RKT0123,http://purl.bdrc.io/resource/W4CZ5369_0123
124,124,http://purl.bdrc.io/resource/W0RKA0124,http://purl.bdrc.io/resource/W0RKT0124,http://purl.bdrc.io/resource/W4CZ5369_0124
125,125,http://purl.bdrc.io/resource/W0RKA0125,http://purl.bdrc.io/resource/W0RKT0125,http://purl.bdrc.io/resource/W4CZ5369_0125
126,126,http://purl.bdrc.io/resource/W0RKA0126,http://purl.bdrc.io/resource/W0RKT0126,http://purl.bdrc.io/resource/W4CZ5369_0126
127,127,http://purl.bdrc.io/resource/W0RKA0127,http://purl.bdrc.io/resource/W0RKT0127,http://purl.bdrc.io/resource/W4CZ5369_0127
128,128,http://purl.bdrc.io/resource/W0RKA0128,http://purl.bdrc.io/resource/W0RKT0128,http://purl.bdrc.io/resource/W4CZ5369_0128
129,129,http://purl.bdrc.io/resource/W0RKA0129,http://purl.bdrc.io/resource/W0RKT0129,http://purl.bdrc.io/resource/W4CZ5369_0129
13,13,http://purl.bdrc.io/resource/W4CZ15639,http://purl.bdrc.io/resource/W0RKT0013,http://purl.bdrc.io/resource/W4CZ5369_0013
130,130,http://purl.bdrc.io/resource/W0RKA0130,http://purl.bdrc.io/resource/W0RKT0130,http://purl.bdrc.io/resource/W4CZ5369_0130
131,131,http://purl.bdrc.io/resource/W0RKA0131,http://purl.bdrc.io/resource/W0RKT0131,http://purl.bdrc.io/resource/W4CZ5369_0131
132,132,http://purl.bdrc.io/resource/W0RKA0132,http://purl.bdrc.io/resource/W0RKT0132,http://purl.bdrc.io/resource/W4CZ5369_0132
133,133,http://purl.bdrc.io/resource/W0RKA0133,http://purl.bdrc.io/resource/W0RKT0133,http://purl.bdrc.io/resource/W4CZ5369_0133
134,134,http://purl.bdrc.io/resource/W0RKA0134,http://purl.bdrc.io/resource/W0RKT0134,http://purl.bdrc.io/resource/W4CZ5369_0134
135,135,http://purl.bdrc.io/resource/W0RKA0135,http://purl.bdrc.io/resource/W0RKT0135,http://purl.bdrc.io/resource/W4CZ5369_0135
136,136,http://purl.bdrc.io/resource/W0RKA0136,http://purl.bdrc.io/resource/W0RKT0136,http://purl.bdrc.io/resource/W4CZ5369_0136
137,137,http://purl.bdrc.io/resource/W0RKA0137,http://purl.bdrc.io/resource/W0RKT0137,http://purl.bdrc.io/resource/W4CZ5369_0137
138,138,http://purl.bdrc.io/resource/W0RKA0138,http://purl.bdrc.io/resource/W0RKT0138,http://purl.bdrc.io/resource/W4CZ5369_0138
139,139,http://purl.bdrc.io/resource/W0RKA0139,http://purl.bdrc.io/resource/W0RKT0139,http://purl.bdrc.io/resource/W4CZ5369_0139
14,14,http://purl.bdrc.io/resource/W0RKA0014,http://purl.bdrc.io/resource/W0RKT0014,http://purl.bdrc.io/resource/W4CZ5369_0014
140,140,http://purl.bdrc.io/resource/W25437,http://purl.bdrc.io/resource/W0RKT0140,http://purl.bdrc.io/resource/W4CZ5369_0140
141,141,http://purl.bdrc.io/resource/W25438,http://purl.bdrc.io/resource/W0RKT0141,http://purl.bdrc.io/resource/W4CZ5369_0141
142,142,http://purl.bdrc.io/resource/W4CZ16788,http://purl.bdrc.io/resource/W0RKT0142,http://purl.bdrc.io/resource/W4CZ5369_0142
